Fecha,Usd_blue,Usd_oficial,Var_Por,econ,bcra,misc,pres,fina,trea
2000-05-24,1.0005,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-05-25,1.0005,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-05-26,1.0004,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-05-29,1.0007,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-05-30,1.0009,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-05-31,1.001,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-01,1.0007,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-02,1.0011,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-05,1.0011,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-06,1.001,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-07,1.0,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-08,0.9998,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-12,0.9998,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-13,0.9996,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-14,0.9999,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-15,0.9988,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-16,0.9988,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-19,0.9988,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-20,0.9994,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-21,0.9996,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
2000-06-22,0.9991,0.0,0.0,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato,Sin Dato
